113,"Como a camada de redes evita congestionamentos na rede?","Garantindo que os pacotes sejam enviados de forma organizada e evitando que se percam pelo caminho","Controlando o fluxo e corrigindo erros durante a transmissão","Dividindo a mensagem em pacotes, endereçando-os e escolhendo o caminho correto","Coordenando a transferência de dados entre diferentes dispositivos","Garantindo a transmissão correta dos dados entre dispositivos",3
114,"O que representa o endereço MAC utilizado na camada de enlace?","Um endereço único para identificar cada dispositivo na rede","Um código que criptografa os dados para garantir a segurança da transmissão","Um sistema de controle de fluxo de dados entre dispositivos","Uma tecnologia para coordenar a transferência de dados","Uma verificação de erros durante a transmissão de dados",1
115,"Qual a função do controle de fluxo e correção de erros na camada de enlace?","Garantir que os dados sejam enviados na velocidade correta e que qualquer erro durante a transmissão seja corrigido","Dividir a mensagem em pacotes, endereçá-los e escolher o caminho correto para transmissão","Escolher o melhor caminho para que os pacotes cheguem ao destino","Evitar congestionamentos na rede","Coordenar a transferência de dados entre diferentes dispositivos",1
116,"Como os pacotes são enviados pela rede de computadores até chegar ao destino, de acordo com a camada de redes?","São enviados por diferentes redes de computadores, com a ajuda de roteadores que direcionam os pacotes ao próximo ponto correto","São enviados por diferentes transportadoras até chegar ao destino final","São transmitidos por cabos e conexões de rede até o destino correto","São direcionados por um sistema de controle de fluxo e correção de erros","São transmitidos por protocolos de comunicação específicos para cada tipo de dado",1
117,"O que significa a parte de controle de fluxo e correção de erros na camada de enlace?","Certificar-se de que os dados sejam enviados na velocidade correta e que qualquer erro durante a transmissão seja corrigido","Controlar o acesso exclusivo aos recursos de comunicação na rede","Cuidar do processo de criptografar os dados para garantir a segurança da transmissão","Corrigir possíveis falhas de conexão durante a transmissão","Assegurar que apenas um dispositivo fale por vez, evitando confusões na comunicação",1
118,"Qual o papel da camada de redes na transmissão de pacotes?","Dividir a mensagem em pacotes de dados, colocar endereços em cada pacote, escolher o caminho certo e garantir que os pacotes cheguem ao destino","Garantir a transmissão correta dos dados entre dispositivos na rede","Controlar o fluxo de dados entre os dispositivos","Garantir a segurança da transmissão criptografando os dados","Coordenar a transferência de dados entre diferentes dispositivos",1
119,"Por que a camada de enlace utiliza um endereço MAC para identificar dispositivos na rede?","Para garantir que apenas um dispositivo fale por vez e evitar confusões na comunicação","Para controlar o fluxo e corrigir erros durante a transmissão","Para dividir a mensagem em pacotes e escolher o caminho correto para transmissão","Para coordenar a transferência de dados entre diferentes dispositivos","Para controlar o acesso ao meio de comunicação, evitando que múltiplos dispositivos falem ao mesmo tempo",1
120,"Qual a principal responsabilidade da camada de enlace na rede de computadores?","Garantir que os dados sejam transmitidos corretamente entre dispositivos e que apenas um fale por vez","Dividir a mensagem em pacotes, colocar endereços em cada pacote e escolher o caminho certo para transmissão","Coordenar a transferência de dados entre diferentes dispositivos","Garantir que apenas um dispositivo fale por vez e que todos possam entender","Cuidar do controle de congestionamento na rede, evitando sobrecarregá-la",1
121,"O que é atribuído pela subcamada MAC a cada dispositivo na rede para rotear os dados corretamente?","Endereço MAC","Endereço IP","Endereço físico","Endereço de rede","Endereço lógico",1
122,"Como a subcamada MAC controla o acesso ao meio de transmissão em uma rede com fio?","Usando a técnica CSMA/CD (Carrier Sense Multiple Access with Collision Detection)","Verificando a possibilidade de envio de dados no meio de transmissão","Usando o protocolo CSMA/CA (Carrier Sense Multiple Access with Collision Avoidance)","Prevenindo a colisão de dados entre dispositivos","Atribuindo um endereço MAC a cada dispositivo na rede",1
123,"O que o dispositivo faz antes de enviar dados em uma rede com fio, de acordo com a técnica utilizada pela subcamada MAC?","Verifica se o meio de transmissão está livre e envia os dados se estiver","Espera um tempo aleatório antes de tentar enviar os dados novamente","Realiza um controle lógico da transmissão para evitar sobrecarga do receptor","Detecta colisões e prontamente reenvia os dados","Utiliza um endereço IP para identificar dispositivos na rede",1
124,"Qual é a principal função da subcamada LLC (Logical Link Control)?","Fornecer serviços de controle lógico de enlace e garantir a transmissão confiável de dados entre os dispositivos","Controlar o acesso ao meio de transmissão e evitar colisões de dados na rede","Dividir a mensagem em pacotes de dados e endereçar corretamente","Controlar a transmissão de sequências de bits no meio de comunicação","Garantir a transmissão confiável entre os dispositivos finais",1
125,"O que a subcamada LLC faz para garantir a transmissão de dados de forma confiável entre dispositivos finais?","Controla o fluxo, segmenta e reagrupa os dados e trata de detecção e recuperação de erros","Define os procedimentos de controle de fluxo e recuperação de erros","Envia quadros de dados ao dispositivo de destino","Fornece endereçamento exclusivo para dispositivos","Gerencia o acesso ao meio de transmissão",1
126,"O que acontece quando um dispositivo detecta uma colisão na rede, de acordo com o protocolo utilizado pela subcamada MAC?","Espera um tempo aleatório antes de tentar enviar os dados novamente","Envia um sinal para os demais dispositivos informando a colisão","Envia os dados novamente logo após a colisão ser detectada","Verifica se o meio de transmissão está livre e envia os dados","Utiliza um endereço físico para rotear os dados",1
127,"Qual é o objetivo da subcamada LLC de segmentar os dados em quadros menores?","Facilitar a transmissão e o reagrupamento dos dados no dispositivo de destino","Reduzir o tamanho total dos dados transmitidos na rede","Controlar o fluxo de dados na rede","Evitar a colisão de dados entre dispositivos","Garantir a transmissão de dados em um formato compreensível",1
128,"O que a camada física do modelo OSI trata no processo de comunicação de dados?","Transmissão transparente de sequências de bits pelo meio físico","Divisão e endereçamento dos pacotes de dados","Uso de protocolos de controle para evitar congestionamento de rede","Estabelecimento de uma conexão lógica entre dispositivos finais","Optimização dos procedimentos de controle de fluxo e recuperação de erros",1
129,"O que engloba a camada física do modelo OSI em termos de procedimentos de acesso e especificações de transmissão?","Padrões mecânicos, funcionais, elétricos e acessos ao meio físico","Controle de acesso ao meio de transmissão e divisão dos dados em quadros","Técnicas para garantir a transmissão confiável de dados","Métodos para endereçar os dispositivos na rede","Prevenção de colisões e erros na rede de comunicação",1
130,"Qual é a função principal da subcamada MAC na rede de computadores?","Controlar o acesso ao meio de transmissão em uma rede e fornecer endereçamento exclusivo para dispositivos","Controlar os procedimentos de fluxo, segmentação e reagrupamento de dados","Garantir a transmissão sem erros de dados entre dispositivos finais","Dividir a mensagem em pacotes, colocar endereços em cada pacote e escolher o caminho correto para a transmissão","Gerenciar a conexão eficiente e confiável do meio de transmissão",1
